,Job_Title,Company,Location,Job URL
11,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
12,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
13,2022 Summer Intern: Data Scientist,Walmart,"Bentonville, AR",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
14,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
15,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
16,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
17,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
18,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
19,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
20,2022 Summer Intern: Data Scientist,Walmart,"Bentonville, AR",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
21,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
22,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
23,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
24,Data Scientist,Walmart,"Dallas, TX",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
25,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
26,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
27,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
28,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
29,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
